2019-10-24 10:40:11,RT @bhconsulting: Read part 2 of @prendeda blog on how to build a positive cybersecurity culture within your organisation. #CyberSecurity #\xe2\x80\xa6
2019-10-24 10:40:04,"@BocktheRobber Does it include methane, no clear?"
2019-10-24 10:39:53,"RT @franmcnulty: \xe2\x80\x9cthe world needs more food, that is a fact &amp; food production does cause emissions"" says Tara McCarthy of @Bordbia but she\xe2\x80\xa6"
2019-10-24 10:39:48,Read part 2 of @prendeda blog on how to build a positive cybersecurity culture within your organisation.\xe2\x80\xa6 https://t.co/y3DUGXaNyn
2019-10-24 10:39:45,"t miss our Spooky Cooking camp this Halloween on Wednesday 30th October from 10am - 1pm. Cost is\xe2\x80\xa6"""
2019-10-24 10:39:44,5 highlights from Mark Zuckerberg\xe2\x80\x99s latest Congress hearing https://t.co/3vnBCCrlUC
2019-10-24 10:39:39,@BocktheRobber Im thinking this might be the first of a few moves in this area. Agree a mixed-use masterplan with r\xe2\x80\xa6 https://t.co/bzDgN5hRIw
2019-10-24 10:38:55,This is the first carbon neutral hotel in Ireland - Via @Lovindotie https://t.co/vbcB0AHPX7
2019-10-24 10:38:49,RT @socialrecycle: Arrival of mixed electrical equipment collected in #Dublin by https://t.co/GAG9KRbPL2 for safe recycling https://t.co/EV\xe2\x80\xa6
2019-10-24 10:38:38,Naby Keita &amp; Alex Oxlade Chamberlain\xe2\x80\x99s performances last night are very encouraging looking ahead to the weekend an\xe2\x80\xa6 https://t.co/rgHO5HsHQ9
2019-10-24 10:38:31,RT @JohnDevlinArt: Day 23. Armored Warrior #inktober #sekiro #inktober2019 #ROBERTOOOOOOO https://t.co/lPCgJ0Wqca
2019-10-24 10:38:19,RT @IrishHospice: Our Living with Loss Galway guest speaker @Meghann_Scully spoke with @RSVPMagazine recently ahead of our #bereavement inf\xe2\x80\xa6
2019-10-24 10:38:19,"RT @GreenNews_ie: Ireland exceeded its annual EU emissions budget by over five million tonnes last year, new data from the Environmental Pr\xe2\x80\xa6"
2019-10-24 10:38:13,@AnSaoiSaonta The carbon is produced here both breeding beef and burning fossil fuels.
2019-10-24 10:38:06,@newschambers About time
